Day,animalsCount,plantsCount,freeFieldsCount,averageEnergy,averageLifespan,averageChildren,mostPopularGenotype
1,5,59,163,64.00,0.00,0.00,0473064427
2,5,97,127,98.00,0.00,0.00,0473064427
3,5,136,87,112.00,0.00,0.00,0473064427
4,5,172,52,186.00,0.00,0.00,1740152622
5,5,209,13,240.00,0.00,0.00,0473064427
6,5,225,0,334.00,0.00,0.00,0473064427
7,5,225,0,428.00,0.00,0.00,0473064427
8,5,225,0,522.00,0.00,0.00,0473064427
9,5,225,0,616.00,0.00,0.00,0473064427
10,5,225,0,710.00,0.00,0.00,0473064427
11,5,225,0,804.00,0.00,0.00,4623143330
12,5,225,0,898.00,0.00,0.00,4612202737
13,5,225,0,992.00,0.00,0.00,0473064427
14,5,225,0,1086.00,0.00,0.00,0473064427
15,5,225,0,1180.00,0.00,0.00,0473064427
16,5,225,0,1274.00,0.00,0.00,4623143330
17,5,225,0,1368.00,0.00,0.00,0473064427
18,5,225,0,1462.00,0.00,0.00,0473064427
19,5,225,0,1556.00,0.00,0.00,0473064427
20,5,225,0,1650.00,0.00,0.00,0473064427
21,5,225,0,1744.00,0.00,0.00,0473064427
22,5,225,0,1838.00,0.00,0.00,1740152622
23,5,225,0,1932.00,0.00,0.00,0473064427
24,5,225,0,2026.00,0.00,0.00,4623143330
25,5,225,0,2120.00,0.00,0.00,1740152622
26,5,225,0,2214.00,0.00,0.00,0473064427
27,5,225,0,2308.00,0.00,0.00,1740152622
28,5,225,0,2402.00,0.00,0.00,0473064427
29,5,225,0,2496.00,0.00,0.00,0473064427
30,6,225,0,2140.67,0.00,0.33,1740305271
31,6,225,0,2234.67,0.00,0.33,1740305271
32,6,225,0,2328.67,0.00,0.33,1740305271
33,6,225,0,2422.67,0.00,0.33,1740305271
34,6,225,0,2516.67,0.00,0.33,1740305271
35,6,225,0,2610.67,0.00,0.33,1740305271
36,6,225,0,2704.67,0.00,0.33,1740305271
37,6,225,0,2798.67,0.00,0.33,1740305271
38,7,225,0,2464.29,0.00,0.57,0062605771
39,8,225,0,2225.25,0.00,0.75,0562675331
40,8,225,0,2319.25,0.00,0.75,0562675331
41,8,225,0,2413.25,0.00,0.75,0562675331
